"tree_id"	"species"	"dbh"	"height"
"213"	"1-W-8"	"HW"	46.6	39.5
"214"	"22-M-3"	"HW"	47	41.8
"215"	"80-M-4"	"HW"	47.7	29.4
"216"	"2-M-3"	"HW"	48	26.1
"217"	"64-M-2"	"HW"	48.2	25
"218"	"22-S-5"	"HW"	48.6	33.7
"219"	"68-M-4"	"HW"	49	44.4
"220"	"14-M-4"	"HW"	49.3	41.7
"221"	"31-M-7"	"HW"	49.8	31.8
"222"	"79-M-8"	"HW"	49.9	26
"223"	"1-N-2"	"HW"	50.5	39.3
"224"	"46-N-10"	"HW"	50.9	35.9
"225"	"82-M-7"	"HW"	52.7	27.7
"226"	"61-E-2"	"HW"	53.6	37.2
"227"	"46-M-8"	"HW"	54	38
"228"	"64-M-5"	"HW"	56.8	33.6
"229"	"32-M-5"	"HW"	57.1	34
"230"	"42-N-2"	"HW"	58.8	37.4
"231"	"1-E-5"	"HW"	59.8	38.5
"232"	"54-M-8"	"HW"	61.7	28.9
"233"	"45-M-2"	"HW"	64.9	39.3
"234"	"72-M-3"	"HW"	66.3	40.9
"235"	"13-M-3"	"HW"	67.3	37
"236"	"57-M-10"	"HW"	69.8	50.5
"237"	"28-M-5"	"HW"	70.9	36
"238"	"74-W-4"	"HW"	76	38.6
"239"	"28-M-2"	"HW"	82.5	36
